Phase,Module,ID,User Story,Acceptance Criteria,Priority,Depends On
Phase 5 - Customer & Kitchen,Customer Self-Order,CART-02,Sebagai customer saya ingin cart saya tidak hilang kalau halaman ter-refresh tidak sengaja agar tidak perlu pilih ulang dari awal,"localStorage merestore isi cart saat halaman dibuka ulang, selama qr_code_token sama",Low,CART-01
Phase 5 - Customer & Kitchen,Customer Self-Order,CUST-02,Sebagai customer saya ingin submit isi cart sebagai pesanan agar tidak perlu antre ke kasir,"Submit membuat order_batches baru berstatus pending_confirmation; order dibuat otomatis jika meja belum punya order aktif; shift_id & cashier_id diambil dari shift aktif outlet",Medium,CART-01
Phase 5 - Customer & Kitchen,Customer Self-Order,CUST-02C,Sebagai customer saya ingin melihat pesan jelas jika outlet belum menerima pesanan agar tahu harus menunggu atau hubungi staff,"Submit cart mengembalikan HTTP 409 jika tidak ada shift aktif di outlet (lihat 02-SDD.md §4.7.2); Customer App menampilkan pesan ramah, bukan error generik",Medium,CUST-02
Phase 5 - Customer & Kitchen,Customer Self-Order,CUST-02B,Sebagai customer saya ingin bisa menambah pesanan lagi setelah pesanan pertama dikonfirmasi agar tidak perlu membuka sesi baru untuk tambah menu,"order_batches kedua/ketiga dst tetap tergabung ke order_id yang sama di meja tsb",Medium,CUST-02
Phase 5 - Customer & Kitchen,Customer Self-Order,CUST-03,Sebagai kasir saya ingin mengkonfirmasi setiap Batch order dari customer sebelum masuk ke dapur agar terhindar dari order salah/spam,"Kasir melihat daftar order_batches pending_confirmation dan bisa confirm/reject per batch",Medium,CUST-02
Phase 5 - Customer & Kitchen,Customer Self-Order,CUST-04,Sebagai customer saya ingin melihat status tiap Batch pesanan saya secara sederhana agar tahu progres pesanan,"Halaman status menampilkan status per order_batch: menunggu konfirmasi/diproses/siap",Low,CUST-03
Phase 5 - Customer & Kitchen,Real-time Notification,RT-01,Sebagai backend saya ingin men-setup Laravel Reverb agar bisa broadcast event ke kasir & customer app secara real-time,"Reverb berjalan sebagai service Docker terpisah, terhubung ke Redis sebagai backend broadcasting",Medium,CUST-02
Phase 5 - Customer & Kitchen,Real-time Notification,RT-02,Sebagai kasir saya ingin menerima notifikasi instan saat ada order_batch baru dari customer agar bisa segera konfirmasi tanpa refresh manual,"Event OrderBatchSubmitted di-broadcast ke private channel outlet.{id}.cashier; kasir app subscribe via Laravel Echo dengan Sanctum auth",Medium,RT-01
Phase 5 - Customer & Kitchen,Real-time Notification,RT-03,Sebagai customer saya ingin melihat update status pesanan saya secara real-time tanpa refresh halaman,"Event OrderBatchStatusChanged di-broadcast ke public channel table.{qr_code_token}",Low,RT-01
Phase 5 - Customer & Kitchen,Real-time Notification,RT-04,Sebagai kasir saya ingin sistem otomatis mengecek ulang order_batches pending saat koneksi saya kembali online agar tidak ada notifikasi yang terlewat selama offline,"Event connected dari Echo memicu fetch REST ke daftar order_batches pending_confirmation",High,RT-02
Phase 6 - Reporting & Admin,Reporting,REPORT-01,Sebagai owner saya ingin melihat laporan penjualan harian/mingguan/bulanan per outlet agar bisa memonitor performa bisnis,"Dashboard menampilkan grafik & tabel penjualan dengan filter tanggal & outlet",High,PAY-01
Phase 6 - Reporting & Admin,Reporting,REPORT-02,Sebagai owner saya ingin melihat laporan gabungan semua outlet agar bisa membandingkan performa antar cabang,"Dashboard multi-outlet comparison view berfungsi untuk role admin pusat",Medium,REPORT-01
Phase 6 - Reporting & Admin,Reporting,REPORT-03,Sebagai admin saya ingin mengekspor laporan penjualan ke Excel/PDF agar bisa dipakai untuk kebutuhan akuntansi/pajak eksternal,"Endpoint export menghasilkan file sesuai filter yang dipilih",Medium,REPORT-01
Phase 6 - Reporting & Admin,Admin Panel,ADMIN-01,Sebagai admin saya ingin mengelola user & role dari satu panel terpusat agar staff baru mudah on-board,"CRUD user dari Admin Panel, terhubung ke roles yang sudah didefinisikan",Medium,RBAC-01
